generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
98880;0.0102499;-0.135218;9.60156;9.88934;0.00603057;0.00587271;0.000119632;3.82562;97.4878;2501;2458;5000;
98890;0.00713392;-0.133742;10;10.1101;0.00602051;0.00592112;4.31124e-05;0;104.274;2396;2571;5000;
98900;0.00188326;-0.132366;9.82602;9.99191;0.00688968;0.00617163;0.000162958;1.70955;103.116;2488;2485;5000;
98910;0.00703129;-0.130394;10;10.1084;0.00668163;0.00615056;-0.00016067;0;106.973;2446;2518;5000;
98920;0.00596357;-0.124413;9.96061;10.2763;0.00652685;0.00580779;-0.000195279;0.392305;108.579;2433;2529;5000;
98930;-0.000880031;-0.12367;9.76041;9.96333;0.00677081;0.0053575;6.7821e-05;2.33851;102.973;2486;2485;5000;
98940;0.00134074;-0.130364;9.88893;10.0403;0.0068892;0.00607639;0.000145354;1.09833;96.6502;2481;2493;5000;
98950;0.000985054;-0.129293;10;9.94497;0.00721873;0.00632553;0.000137502;0;104.557;2430;2530;5000;
98960;-0.0051684;-0.130263;9.62565;9.49779;0.00694532;0.00632305;7.23589e-06;3.60339;89.4625;2541;2417;5000;
98970;-0.0107609;-0.128457;10;9.67755;0.00676172;0.00638572;1.70436e-05;0;96.0816;2506;2461;5000;
98980;-0.00438918;-0.130488;9.85646;9.91974;0.00607861;0.00565649;3.03206e-05;1.4148;95.8202;2490;2472;5000;
98990;-0.00237182;-0.128015;10;9.94833;0.00633659;0.0056829;-0.000146857;0;105.999;2469;2503;5000;
99000;0.000992411;-0.131158;9.79934;9.30414;0.0068039;0.00546443;1.84741e-05;1.96629;92.7918;2568;2393;5000;
99010;0.00217024;-0.134976;10;9.96427;0.00659361;0.00573588;6.43297e-05;0;101.507;2456;2510;5000;
99020;0.00538347;-0.138037;9.79913;10.0528;0.00593039;0.00570274;6.51025e-05;1.96832;101.054;2472;2488;5000;
99030;0.0151096;-0.141523;10;9.93678;0.00606014;0.00568225;1.03972e-05;0;102.011;2431;2515;5000;
99040;0.0189294;-0.136852;9.94115;10.3386;0.00596231;0.0055018;-0.000173926;0.585003;100.049;2425;2534;5000;
99050;0.0186948;-0.137252;9.84171;10.0323;0.00616777;0.00610797;-0.00014119;1.55785;103.113;2478;2487;5000;
99060;0.0121047;-0.143751;9.64885;9.95897;0.00631966;0.00558864;-6.343e-05;3.3882;102.009;2489;2473;5000;
99070;0.00821344;-0.143026;9.91637;10.004;0.00675383;0.00548717;-6.5189e-06;0.829326;100.884;2477;2490;5000;
99080;0.00592426;-0.150997;9.46029;9.79219;0.0067273;0.00594018;-8.25587e-05;5.10579;94.8862;2505;2454;5000;
99090;0.00212828;-0.147044;9.98384;9.78614;0.00643647;0.0063557;5.81141e-06;0.161355;104.667;2475;2471;5000;
99100;-0.0106338;-0.147063;10;9.75965;0.00651698;0.00565481;-0.000108857;0;105.261;2476;2477;5000;
99110;-0.00713275;-0.140616;10;9.80747;0.00658206;0.00514622;-3.88356e-05;0;99.57;2469;2496;5000;
99120;-0.00603531;-0.146662;9.78943;9.87112;0.00735269;0.00524961;-6.57711e-05;2.06134;101.393;2497;2464;5000;
99130;-0.0149057;-0.146761;9.84903;9.98389;0.00659062;0.00519597;-0.0003246;1.48694;95.771;2481;2479;5000;
99140;-0.0103913;-0.151288;10;9.53906;0.00691324;0.00488259;0.000238141;0;93.4594;2518;2442;5000;
99150;-0.0085455;-0.156775;9.90196;9.49843;0.00755034;0.00502874;-3.54954e-05;0.97078;97.0055;2512;2424;5000;
99160;-0.00863024;-0.160551;10;9.81481;0.0072886;0.00498038;-4.57794e-06;0;100.084;2467;2491;5000;
99170;-0.00684886;-0.161614;9.72433;9.65559;0.00732276;0.0050246;-5.23424e-05;2.6807;94.4749;2528;2434;5000;
99180;-0.00258769;-0.161925;10;10.0875;0.00690307;0.00542139;-2.60082e-05;0;102.577;2415;2537;5000;
99190;0.000689082;-0.162696;10;9.94022;0.00659385;0.00585114;0.000207553;0;96.3296;2460;2494;5000;
99200;0.00760217;-0.164357;9.90601;9.49471;0.0072968;0.00585957;1.13165e-05;0.931092;98.4129;2527;2424;5000;
99210;0.0113103;-0.165058;10;9.9013;0.00694534;0.00569652;-0.000109439;0;102.438;2453;2508;5000;
99220;0.016563;-0.167022;10;9.92974;0.00668198;0.00629509;-2.70456e-05;0;104.289;2410;2544;5000;
99230;0.0121505;-0.164466;10;10.0679;0.00679854;0.00601548;-0.000135468;0;99.7158;2436;2521;5000;
99240;0.0128025;-0.159053;9.83262;10.3908;0.0071472;0.00576878;-9.94095e-05;1.64579;104.372;2424;2526;5000;
99250;0.0215108;-0.153113;9.90789;9.88414;0.00765154;0.00578031;-6.6484e-05;0.912621;98.3885;2478;2474;5000;
99260;0.0208725;-0.155332;10;9.79882;0.0073863;0.00529271;4.86755e-05;0;101.38;2479;2484;5000;
99270;0.0211148;-0.161053;10;10.4632;0.00720888;0.00540403;-8.26959e-05;0;107.628;2383;2575;5000;
99280;0.0229299;-0.165063;9.61672;10.1076;0.0075066;0.00488738;-0.000240636;3.68585;100.609;2461;2484;5000;
99290;0.0216337;-0.166641;9.78202;10.2838;0.00730422;0.00516672;5.59341e-05;2.13232;96.4641;2447;2513;5000;
99300;0.0201152;-0.167967;9.76643;9.94745;0.00680206;0.00527163;-7.92839e-06;2.28115;100.28;2479;2467;5000;
99310;0.0189001;-0.16733;9.62559;9.98768;0.00719247;0.00560893;8.01592e-05;3.60396;97.9063;2478;2468;5000;
99320;0.00953955;-0.170262;10;10.0682;0.00740077;0.00535219;-0.000103338;0;99.0724;2445;2509;5000;
99330;-0.00218708;-0.169568;10;10.1072;0.00660603;0.00603762;3.41191e-05;0;111.422;2409;2546;5000;
99340;-0.00557485;-0.167274;9.53996;9.77413;0.00618077;0.00574605;0.00033854;4.38875;97.9777;2503;2447;5000;
99350;-0.00287903;-0.170246;9.90916;10.1661;0.00623706;0.0058565;0.00016528;0.900121;100.742;2438;2509;5000;
99360;-0.00048732;-0.169202;9.70646;10.0164;0.00637584;0.00547429;0.000146698;2.84925;96.1143;2478;2480;5000;
99370;0.00174859;-0.170374;9.98825;10.4209;0.00731556;0.00501375;5.37307e-05;0.117371;108.65;2405;2550;5000;
99380;0.00484463;-0.177712;10;9.83877;0.00798246;0.00524721;3.01317e-05;0;102.491;2440;2502;5000;
99390;0.00461685;-0.178206;10;10.1673;0.00802657;0.00533141;-0.000104171;0;111.605;2402;2552;5000;
99400;0.00796051;-0.183496;9.54023;9.49939;0.00772893;0.00577894;0.00020738;4.38631;98.2557;2529;2407;5000;
99410;0.00686013;-0.172607;9.984;9.984;0.00723274;0.00558078;-5.99742e-06;0.159744;100.72;2451;2496;5000;
99420;0.0148716;-0.174465;10;9.95657;0.0072555;0.00577143;-0.000155039;0;100.709;2426;2522;5000;
99430;0.0104219;-0.172527;9.78614;9.98384;0.00710203;0.00543413;-9.26246e-05;2.09288;98.424;2468;2471;5000;
99440;0.0139317;-0.171912;10;9.84807;0.00723759;0.00536164;1.96498e-05;0;103.015;2419;2528;5000;
99450;0.0157549;-0.169579;10;9.97622;0.00776951;0.005353;0.000230958;0;106.222;2414;2517;5000;
99460;0.0170461;-0.169395;9.75078;10.2303;0.0081967;0.00569048;-9.09628e-06;2.4301;100.358;2445;2504;5000;
99470;0.0183023;-0.170444;9.44854;9.70722;0.00855063;0.00579572;0.000141632;5.21046;98.9246;2510;2433;5000;
99480;0.01424;-0.165343;9.51295;9.93369;0.00849566;0.00594608;-5.31781e-05;4.63329;102.275;2484;2461;5000;
99490;0.0134891;-0.154716;9.9489;10.3054;0.00857229;0.00542453;2.42742e-05;0.508395;108.824;2424;2531;5000;
99500;0.00348385;-0.157313;10;9.85022;0.0083041;0.00563077;7.79004e-05;0;101.199;2464;2499;5000;
99510;0.00748798;-0.163882;9.7951;9.70928;0.00854019;0.00501093;-7.13748e-05;2.00703;91.154;2509;2438;5000;
99520;0.00635437;-0.159764;10;9.99205;0.00837363;0.00554801;-0.000100356;0;107.674;2437;2513;5000;
